,,survived,survived,game_over_step,final_market_fit,final_market_fit,avg_market_fit,avg_market_fit,final_market_share,final_market_share,final_revenue,final_revenue,final_tech_debt,final_tech_debt,final_bugs,final_bugs,pivots_used,funding_rounds
,,mean,count,mean,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean
parameter,parameter_value,,,,,,,,,,,,,,,,,
base_turnover_rate,0.5,1.0,10,200.0,100.0,0.0,91.57,0.21,8.63,0.63,141.87,12.77,20.85,0.25,0.0,0.0,0.0,0.0
base_turnover_rate,1.0,1.0,10,200.0,100.0,0.0,91.24,0.43,7.32,0.93,122.01,13.87,21.02,0.26,0.0,0.0,0.0,0.0
base_turnover_rate,2.0,1.0,10,200.0,100.0,0.0,90.9,0.47,7.11,1.17,116.26,16.58,21.71,0.74,0.0,0.0,0.0,0.0
base_turnover_rate,4.0,1.0,10,200.0,100.0,0.0,90.02,0.53,5.51,0.83,90.3,14.7,28.95,6.83,0.0,0.0,0.0,0.0
base_turnover_rate,8.0,0.9,10,185.2,96.97,9.57,84.26,8.53,2.28,1.14,24.1,9.57,97.71,14.89,3.35,7.99,0.0,0.0
dev_to_features,0.005,1.0,10,200.0,100.0,0.0,91.13,0.62,5.52,0.58,86.14,12.3,25.7,0.18,0.0,0.0,0.0,0.0
dev_to_features,0.01,1.0,10,200.0,100.0,0.0,90.93,0.45,7.09,0.94,117.25,12.83,21.76,0.81,0.0,0.0,0.0,0.0
dev_to_features,0.015,1.0,10,200.0,100.0,0.0,90.95,0.35,7.64,1.36,131.75,22.15,17.69,0.77,0.0,0.0,0.0,0.0
dev_to_features,0.02,1.0,10,200.0,100.0,0.0,91.13,0.48,8.47,0.73,149.24,13.14,14.28,0.39,0.0,0.0,0.0,0.0
dev_to_features,0.025,1.0,10,200.0,100.0,0.0,90.81,0.38,8.4,0.87,149.18,13.7,12.25,0.46,0.0,0.0,0.0,0.0
hr_talent_boost,0.1,1.0,10,200.0,100.0,0.0,91.07,0.43,6.98,1.2,113.52,21.66,21.65,0.73,0.0,0.0,0.0,0.0
hr_talent_boost,0.3,1.0,10,200.0,100.0,0.0,91.01,0.52,7.34,0.58,121.33,16.69,21.27,0.72,0.0,0.0,0.0,0.0
hr_talent_boost,0.5,1.0,10,200.0,100.0,0.0,90.99,0.44,7.49,0.54,128.18,14.49,21.09,0.33,0.0,0.0,0.0,0.0
hr_talent_boost,0.7,1.0,10,200.0,100.0,0.0,90.92,0.52,6.69,1.35,112.0,22.4,21.39,0.37,0.0,0.0,0.0,0.0
hr_talent_boost,1.0,1.0,10,200.0,100.0,0.0,91.03,0.33,6.85,0.54,114.3,12.14,21.06,0.42,0.0,0.0,0.0,0.0
strategic_focus_strength,0.5,1.0,10,200.0,100.0,0.0,90.77,0.84,6.46,1.29,110.79,22.23,21.32,0.56,0.0,0.0,0.0,0.0
strategic_focus_strength,1.0,1.0,10,200.0,100.0,0.0,90.75,0.53,7.21,1.24,118.11,22.36,21.07,0.33,0.0,0.0,0.0,0.0
strategic_focus_strength,2.0,1.0,10,200.0,100.0,0.0,91.02,0.23,6.68,1.36,109.31,19.29,21.51,0.6,0.0,0.0,0.0,0.0
strategic_focus_strength,3.0,1.0,10,200.0,100.0,0.0,90.74,0.58,7.32,0.93,120.11,18.57,21.41,0.56,0.0,0.0,0.0,0.0
strategic_focus_strength,4.0,1.0,10,200.0,100.0,0.0,90.95,0.52,6.9,0.79,112.94,12.1,21.17,0.61,0.0,0.0,0.0,0.0
