,survived,survived,survival_duration,final_market_fit,final_market_fit,final_market_share,final_market_share,final_revenue,final_revenue,final_cash_runway,final_cash_runway,final_tech_debt,final_bugs,avg_team_morale,max_market_share,pivots_used,funding_rounds,market_fit_50_step,market_share_5_step,revenue_per_employee,market_share_per_employee,total_headcount,num_engineers
,mean,count,mean,mean,std,mean,std,mean,std,mean,std,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,first,first
config_name,,,,,,,,,,,,,,,,,,,,,,,
Large Eng Team,1.0,15,200.0,100.0,0.0,6.8,0.83,113.41,17.05,11822.48,632.42,21.18,0.0,85.35,8.1,0.0,0.0,0.0,94.4,4.54,0.27,25,15
Large Mkt Team,1.0,15,200.0,100.0,0.0,7.23,0.92,122.52,15.84,12125.76,881.58,20.86,0.0,85.34,8.37,0.0,0.0,0.0,88.07,5.33,0.31,23,10
Large Sales Team,1.0,15,200.0,100.0,0.0,10.3,1.22,185.27,25.08,20739.69,1180.58,20.95,0.0,84.31,11.94,0.0,0.0,0.0,68.67,8.06,0.45,23,10
Medium Eng Team,1.0,15,200.0,100.0,0.0,6.86,1.14,114.01,17.78,11414.53,1064.46,21.27,0.0,84.9,8.14,0.0,0.0,0.0,96.53,5.7,0.34,20,10
Scale-up (2:1:1),1.0,15,200.0,100.0,0.0,14.5,1.14,259.6,25.57,32774.89,1276.67,20.42,0.0,89.02,15.55,0.0,0.0,0.0,48.0,6.18,0.35,42,20
Small Eng Team,1.0,15,200.0,100.0,0.0,6.51,0.9,108.01,15.29,10261.31,748.42,21.64,0.0,86.08,8.08,0.0,0.0,0.0,95.33,7.2,0.43,15,5
Small Mkt Team,1.0,15,200.0,100.0,0.0,4.81,0.78,107.05,18.69,10126.95,701.53,21.71,0.0,82.22,5.78,0.0,0.0,0.0,136.13,5.95,0.27,18,10
Small Sales Team,0.73,15,152.53,89.45,18.12,3.42,2.32,54.46,34.49,3620.56,2576.93,22.25,2.57,81.87,3.88,0.0,0.47,0.0,172.2,3.03,0.19,18,10
Startup (2:1:1),0.4,15,92.87,75.73,20.55,1.74,2.3,29.93,33.97,1712.89,2351.8,23.46,6.23,75.06,1.95,0.0,0.2,0.0,188.13,2.14,0.12,14,6
XLarge Eng Team,1.0,15,200.0,100.0,0.0,7.02,1.0,121.99,16.46,13370.6,740.88,21.27,0.0,85.04,8.11,0.0,0.0,0.0,96.13,4.07,0.23,30,20
